text,label
Travel details: flight departs at 11:15am from gate 39. Talk soon.,ham
Reminder: submit your timesheet by EOD Friday. Thanks!,ham
URGENT: Your account is on hold. Verify your details at http://dealz-now.co/wexzkmyz immediately. Safe and secure.,spam
Exclusive deal for you: premium membership only $9! Order at http://promo.cards/zcxwelrn. Limited stock.,spam
Earn money from home! Make $250 per day. Join now: http://verify-secure.com/qazwlcsl. Safe and secure.,spam
Here are the minutes from today's call attached. Let me know.,ham
Congratulations! You've won a MacBook Pro. Click http://quick-claim.net/jleyshzv to claim now. Act fast.,spam
Great work on the presentation! The client loved it. Talk soon.,ham
Final notice! Unpaid invoice #34856 due today. Pay at http://verify-secure.com/hgvryzzw. Confirm now.,spam
Travel details: flight departs at 11:15am from gate 30. Let me know.,ham
Here are the minutes from today's call attached. Let me know.,ham
You have been selected for a special reward. Confirm here: http://verify-secure.com/nwwhukyn. Safe and secure.,spam
Free gift card worth $1000! Complete the survey: http://dealz-now.co/relipqlg. Limited stock.,spam
Lunch at 2pm? There's a café near the office. Thanks!,ham
Earn money from home! Make $1000 per day. Join now: http://quick-claim.net/mfcikean. Confirm now.,spam
Congratulations! You've won a PS5. Click http://quick-claim.net/onozdyly to claim now. Act fast.,spam
Free gift card worth $100! Complete the survey: http://quick-claim.net/zitfghco. Act fast.,spam
Here are the minutes from today's call attached. Appreciate it.,ham
Great work on the presentation! The client loved it. Talk soon.,ham
Final notice! Unpaid invoice #61583 due today. Pay at http://quick-claim.net/kvwkeqlk. Safe and secure.,spam
Exclusive deal for you: crypto course only $19! Order at http://quick-claim.net/gvincjtj. Safe and secure.,spam
Attaching the invoices for this month. Let me know if any questions. Appreciate it.,ham
I've pushed the latest code to the repository. See branch release/v1.4.2. Let me know.,ham
Free gift card worth $100! Complete the survey: http://dealz-now.co/oebgpjrt. Safe and secure.,spam
Earn money from home! Make $100 per day. Join now: http://quick-claim.net/yscvktwa. Confirm now.,spam
You have been selected for a special reward. Confirm here: http://dealz-now.co/dmutfpkb. Limited stock.,spam
Here are the minutes from today's call attached. Thanks!,ham
URGENT: Your account is on hold. Verify your details at http://dealz-now.co/bywtlhwi immediately. Limited stock.,spam
Final notice! Unpaid invoice #21662 due today. Pay at http://promo.cards/fkewywfy. No credit check.,spam
Earn money from home! Make $500 per day. Join now: http://dealz-now.co/jhhokvhf. Safe and secure.,spam
Your package is waiting. Track delivery at http://dealz-now.co/yxtqwsou. Confirm now.,spam
Here are the minutes from today's call attached. Thanks!,ham
Thanks for your help on the report. Let's review on Monday. Talk soon.,ham
